x_m,y_m,Ma,gamma,Taw_K,Twg_K,sigma,hg_W_m2K,qdot_W_m2
0.031935,0.028065,0.231963,1.166800,3298.526,800.000,1.380718,22686.902,56683807.922
0.032290,0.027710,0.238326,1.166800,3298.444,800.000,1.380631,23211.026,57991451.221
0.032644,0.027356,0.244972,1.166800,3298.357,800.000,1.380538,23754.159,59346359.885
0.032999,0.027001,0.251922,1.166800,3298.263,800.000,1.380438,24317.243,60750856.526
0.033354,0.026646,0.259194,1.166800,3298.161,800.000,1.380330,24901.277,62207406.470
0.033709,0.026291,0.266813,1.166800,3298.052,800.000,1.380214,25507.323,63718627.938
0.034064,0.025936,0.274803,1.166800,3297.935,800.000,1.380089,26136.514,65287302.987
0.034419,0.025581,0.283192,1.166800,3297.807,800.000,1.379953,26790.051,66916389.217
0.034773,0.025227,0.292010,1.166800,3297.670,800.000,1.379806,27469.217,68609032.292
0.035128,0.024872,0.301293,1.166800,3297.520,800.000,1.379647,28175.377,70368579.271
0.035156,0.024844,0.302050,1.166800,3297.508,800.000,1.379633,28232.627,70511212.352
0.035256,0.024744,0.304743,1.166800,3297.464,800.000,1.379586,28435.612,71016910.267
0.035356,0.024646,0.307447,1.166800,3297.419,800.000,1.379538,28638.637,71522671.435
0.035456,0.024549,0.310162,1.166800,3297.373,800.000,1.379490,28841.695,72028483.690
0.035556,0.024453,0.312887,1.166800,3297.327,800.000,1.379440,29044.783,72534334.021
0.035656,0.024358,0.315623,1.166800,3297.281,800.000,1.379391,29247.895,73040208.599
0.035756,0.024264,0.318370,1.166800,3297.234,800.000,1.379340,29451.025,73546092.796
0.035856,0.024171,0.321129,1.166800,3297.186,800.000,1.379289,29654.167,74051971.198
0.035956,0.024079,0.323898,1.166800,3297.138,800.000,1.379238,29857.315,74557827.628
0.036056,0.023988,0.326678,1.166800,3297.089,800.000,1.379185,30060.463,75063645.163
0.036156,0.023898,0.329470,1.166800,3297.039,800.000,1.379132,30263.603,75569406.145
0.036256,0.023809,0.332273,1.166800,3296.989,800.000,1.379079,30466.729,76075092.199
0.036356,0.023721,0.335088,1.166800,3296.938,800.000,1.379024,30669.833,76580684.249
0.036456,0.023634,0.337913,1.166800,3296.887,800.000,1.378970,30872.908,77086162.528
0.036556,0.023547,0.340751,1.166800,3296.835,800.000,1.378914,31075.944,77591506.596
0.036656,0.023462,0.343599,1.166800,3296.782,800.000,1.378858,31278.935,78096695.347
0.036756,0.023377,0.346460,1.166800,3296.729,800.000,1.378800,31481.872,78601707.025
0.036856,0.023293,0.349332,1.166800,3296.675,800.000,1.378743,31684.745,79106519.234
0.036956,0.023210,0.352215,1.166800,3296.621,800.000,1.378684,31887.547,79611108.952
0.037056,0.023128,0.355111,1.166800,3296.565,800.000,1.378625,32090.267,80115452.538
