x_m,y_m,Ma,gamma,Taw_K,Twg_K,sigma,hg_W_m2K,qdot_W_m2
0.022554,0.025446,0.220912,1.166800,3298.662,800.000,1.380863,4876.461,12184628.657
0.022817,0.025183,0.225803,1.166800,3298.603,800.000,1.380800,4968.023,12413115.936
0.023079,0.024921,0.230869,1.166800,3298.540,800.000,1.380733,5062.279,12648305.173
0.023341,0.024659,0.236118,1.166800,3298.473,800.000,1.380662,5159.337,12890463.438
0.023603,0.024397,0.241560,1.166800,3298.402,800.000,1.380586,5259.311,13139871.137
0.023866,0.024134,0.247205,1.166800,3298.327,800.000,1.380506,5362.318,13396822.792
0.024128,0.023872,0.253066,1.166800,3298.247,800.000,1.380421,5468.486,13661627.877
0.024390,0.023610,0.259155,1.166800,3298.162,800.000,1.380331,5577.946,13934611.695
0.024652,0.023348,0.265484,1.166800,3298.072,800.000,1.380235,5690.836,14216116.321
0.024915,0.023085,0.272068,1.166800,3297.975,800.000,1.380132,5807.304,14506501.593
0.025177,0.022823,0.278924,1.166800,3297.873,800.000,1.380022,5927.502,14806146.170
0.025439,0.022561,0.286067,1.166800,3297.763,800.000,1.379906,6051.594,15115448.641
0.025701,0.022299,0.293516,1.166800,3297.646,800.000,1.379781,6179.751,15434828.705
0.025964,0.022036,0.301293,1.166800,3297.520,800.000,1.379647,6312.152,15764728.406
0.026002,0.021998,0.302466,1.166800,3297.501,800.000,1.379626,6332.017,15814219.252
0.026102,0.021899,0.305509,1.166800,3297.451,800.000,1.379573,6383.345,15942092.610
0.026202,0.021801,0.308565,1.166800,3297.400,800.000,1.379518,6434.685,16069983.054
0.026302,0.021705,0.311634,1.166800,3297.349,800.000,1.379463,6486.033,16197886.571
0.026402,0.021609,0.314718,1.166800,3297.296,800.000,1.379407,6537.389,16325798.845
0.026502,0.021515,0.317815,1.166800,3297.243,800.000,1.379351,6588.751,16453715.262
0.026602,0.021422,0.320926,1.166800,3297.190,800.000,1.379293,6640.117,16581630.927
0.026702,0.021330,0.324052,1.166800,3297.135,800.000,1.379235,6691.485,16709540.661
0.026802,0.021239,0.327192,1.166800,3297.080,800.000,1.379176,6742.852,16837439.015
0.026902,0.021149,0.330346,1.166800,3297.024,800.000,1.379116,6794.217,16965320.274
0.027002,0.021060,0.333514,1.166800,3296.967,800.000,1.379055,6845.577,17093178.463
0.027102,0.020972,0.336697,1.166800,3296.909,800.000,1.378993,6896.930,17221007.352
0.027202,0.020886,0.339895,1.166800,3296.851,800.000,1.378931,6948.273,17348800.465
0.027302,0.020800,0.343107,1.166800,3296.792,800.000,1.378867,6999.604,17476551.080
0.027402,0.020715,0.346334,1.166800,3296.732,800.000,1.378803,7050.919,17604252.239
0.027502,0.020631,0.349576,1.166800,3296.671,800.000,1.378738,7102.217,17731896.750
0.027602,0.020548,0.352833,1.166800,3296.609,800.000,1.378672,7153.494,17859477.193
0.027702,0.020467,0.356104,1.166800,3296.546,800.000,1.378605,7204.747,17986985.925
0.027802,0.020386,0.359391,1.166800,3296.483,800.000,1.378537,7255.973,18114415.079
0.027902,0.020306,0.362693,1.166800,3296.419,800.000,1.378468,7307.170,18241756.578
0.028002,0.020226,0.366010,1.166800,3296.354,800.000,1.378398,7358.333,18369002.128
0.028102,0.020148,0.369342,1.166800,3296.288,800.000,1.378328,7409.459,18496143.232
0.028202,0.020071,0.372690,1.166800,3296.221,800.000,1.378256,7460.546,18623171.184
0.028302,0.019994,0.376053,1.166800,3296.153,800.000,1.378183,7511.589,18750077.082
